"plotid"	"plothalfid1"	"inv"	"year"	"ammonifd_B"	"ammonifd_F"	"ammonifd_T"	"minzd_B"	"minzd_F"	"minzd_T"	"nhi_B"	"nhi_F"	"nhi_T"	"nitrifd_B"	"nitrifd_F"	"nitrifd_T"	"noi_B"	"noi_F"	"noi_T"	"soilmoi_B"	"soilmoi_F"	"soilmoi_T"	"som_B"	"som_F"	"som_T"	"toti_B"	"toti_F"	"toti_T"	"mv"	"nat"	"litter"	"percpar"	"soiltemp"	"total"	"soilBasin"	"nTrees"	"BA_total"	"PercBA_ECM"
"50"	9	"I_9"	"I"	2012	-0.0448	NA	-0.0129	0.0825	NA	0.2534	1.5145	NA	2.3112	0.1273	NA	0.2663	1.5242	NA	2.7585	12.8788	NA	24.5536	2.6087	NA	8.284	3.0388	NA	5.0697	27.8	0.48	65.22	3.71	NA	28.28	1	4	0.6801100614	0
"51"	9	"I_9"	"I"	2013	0.1989	NA	-0.0076	0.7087	NA	0.3975	3.073	NA	1.6463	0.5098	NA	0.405	0.9384	NA	0.571	27.616	NA	28.1961	4.3011	NA	4.5962	4.0115	NA	2.2173	11.5	2.93	60.12	NA	NA	14.43	1	4	0.6801100614	0
"52"	9	"N_9"	"N"	2011	NA	0	NA	NA	0.0073	NA	NA	0.7776	NA	NA	0.0073	NA	NA	1.1526	NA	NA	7.0539	NA	NA	3.5714	NA	NA	1.9301	NA	0	0.68	149.94	5.85	11.7	0.68	1	4	0.6801100614	0
"53"	9	"N_9"	"N"	2012	-0.0163	NA	-0.0563	-0.0211	NA	0.2285	1.0714	NA	2.1898	-0.0048	NA	0.2848	1.6853	NA	2.5639	11.284	NA	16.791	3.0702	NA	5.3812	2.7566	NA	4.7536	0	13.41	90.6	2.01	NA	13.41	1	4	0.6801100614	0
"54"	9	"N_9"	"N"	2013	-0.213	NA	-0.1326	-0.1551	NA	-0.1435	3.1081	NA	1.9715	0.0579	NA	-0.0109	0.3511	NA	0.5399	16.6099	NA	18.1782	3.3122	NA	4.5783	3.4592	NA	2.5114	0	17.32	66.38	NA	NA	17.32	1	4	0.6801100614	0
"55"	10	"I_10"	"I"	2011	NA	-0.002	NA	NA	0.0038	NA	NA	1.4316	NA	NA	0.0058	NA	NA	2.9241	NA	NA	17.9331	NA	NA	7.037	NA	NA	4.3557	NA	4.04	0.54	88.69	15.77	11.7	4.58	0	2	0.0773406942	64.4887431072477
"56"	10	"I_10"	"I"	2012	0.4443	NA	-0.1119	1.2503	NA	0.3147	3.2933	NA	3.3534	0.806	NA	0.4266	1.9236	NA	3.7309	18.5053	NA	28.27	4.8035	NA	10.5882	5.2169	NA	7.0842	7.73	5.44	84.26	2.64	NA	13.17	0	2	0.0773406942	64.4887431072477
"57"	10	"I_10"	"I"	2013	-0.1441	NA	-0.2652	0.0144	NA	1.2033	4.741	NA	8.3859	0.1585	NA	1.4685	1.808	NA	5.7338	19.0899	NA	34.4944	3.8911	NA	11.3779	6.549	NA	14.1196	4.95	4.07	35.73	0.4	NA	9.02	0	2	0.0773406942	64.4887431072477
"58"	10	"N_10"	"N"	2011	NA	0.0019	NA	NA	0.0075	NA	NA	2.352	NA	NA	0.0056	NA	NA	1.7223	NA	NA	12.6761	NA	NA	6.4516	NA	NA	4.0743	NA	0	1.84	111.83	10.68	10.7	1.84	0	2	0.0773406942	64.4887431072477
"59"	10	"N_10"	"N"	2012	-0.0163	NA	-0.0668	0.2321	NA	0.1505	3.0485	NA	4.67	0.2484	NA	0.2173	0.7399	NA	2.5637	15.3333	NA	24.0816	4.3307	NA	9.1398	3.7884	NA	7.2337	0	10.27	101.57	26.01	NA	10.27	0	2	0.0773406942	64.4887431072477
"60"	10	"N_10"	"N"	2013	-0.1761	NA	-0.2247	0.1227	NA	-0.0159	2.7923	NA	4.526	0.2988	NA	0.2088	3.0856	NA	6.0528	14.2125	NA	25.7937	3.1343	NA	7.6471	5.8779	NA	10.5788	0	5.03	88.39	13.96	NA	5.03	0	2	0.0773406942	64.4887431072477
"61"	11	"I_11"	"I"	2011	NA	-0.0022	NA	NA	0.0091	NA	NA	1.6587	NA	NA	0.0114	NA	NA	0.7296	NA	NA	15.4867	NA	NA	6.2827	NA	NA	2.3883	NA	182.5	96.2	95.4	53.83	10.4	278.7	0	2	0.1832094726	100
"62"	11	"I_11"	"I"	2012	0.3761	NA	-0.0632	0.5724	NA	0.1609	1.2348	NA	2.874	0.1963	NA	0.2241	0.4054	NA	3.2406	13.6691	NA	23.4818	5	NA	11.1111	1.6403	NA	6.1147	8.17	42.62	76.75	72.79	NA	50.79	0	2	0.1832094726	100
"63"	11	"I_11"	"I"	2013	0.0728	NA	0.2515	0.0665	NA	0.6759	1.4971	NA	3.1919	-0.0063	NA	0.4244	0.6257	NA	2.0835	12.4287	NA	24.6642	4.0453	NA	9.2382	2.1229	NA	5.2754	32.94	19.08	84.45	71.34	NA	52.02	0	2	0.1832094726	100
"64"	11	"N_11"	"N"	2011	NA	0.0119	NA	NA	0.015	NA	NA	0.8969	NA	NA	0.003	NA	NA	1.1372	NA	NA	10.2473	NA	NA	6.6929	NA	NA	2.0341	NA	0	1.49	113.83	16.1	9.9	1.49	0	2	0.1832094726	100
"65"	11	"N_11"	"N"	2012	0.0013	NA	0.0826	0.0463	NA	0.1665	2.297	NA	2.8057	0.045	NA	0.084	1.6136	NA	3.1577	13.7931	NA	20.7171	5	NA	10.0503	3.9106	NA	5.9634	0	15.76	105.42	14.82	NA	15.76	0	2	0.1832094726	100
"66"	11	"N_11"	"N"	2013	-0.2371	NA	-0.2268	-0.1121	NA	0.1268	3.9632	NA	6.1918	0.125	NA	0.3536	1.564	NA	2.4348	9.7323	NA	18.6216	4.9546	NA	7.5326	5.5271	NA	8.6266	0	9.57	46.39	63.8	NA	9.57	0	2	0.1832094726	100
"67"	12	"I_12"	"I"	2011	NA	-1e-04	NA	NA	0.0052	NA	NA	1.0597	NA	NA	0.0053	NA	NA	0.9227	NA	NA	14.1463	NA	NA	5.1136	NA	NA	1.9823	NA	2.84	7.01	145.16	53.81	10.3	9.85	0	0	0	NA
"68"	12	"I_12"	"I"	2012	-0.0416	NA	NA	-0.0259	NA	-0.1077	1.3879	NA	1.3689	0.0157	NA	-0.0428	0.5364	NA	2.3501	10.757	NA	14.0152	3.5714	NA	7.489	1.9243	NA	3.719	88.37	39.2	73.69	70.51	NA	127.57	0	0	0	NA
