"plotid"	"plothalfid1"	"inv"	"year"	"variable"	"value"	"note"	"varType"	"measLevel"	"variable1"
"751"	7	"I_7"	"I"	2011	"nhi_F"	0.9436	NA	"measCat"	"plothalf"	"nhi_F_I"
"754"	7	"N_7"	"N"	2011	"nhi_F"	0.7786	NA	"measCat"	"plothalf"	"nhi_F_N"
"757"	8	"I_8"	"I"	2011	"nhi_F"	0.8316	NA	"measCat"	"plothalf"	"nhi_F_I"
"760"	8	"N_8"	"N"	2011	"nhi_F"	1.3479	NA	"measCat"	"plothalf"	"nhi_F_N"
"763"	9	"I_9"	"I"	2011	"nhi_F"	0.7453	NA	"measCat"	"plothalf"	"nhi_F_I"
"766"	9	"N_9"	"N"	2011	"nhi_F"	0.7776	NA	"measCat"	"plothalf"	"nhi_F_N"
"961"	1	"I_1"	"I"	2011	"nitrifd_F"	0.0037	NA	"measCat"	"plothalf"	"nitrifd_F_I"
"964"	1	"N_1"	"N"	2011	"nitrifd_F"	-0.0011	NA	"measCat"	"plothalf"	"nitrifd_F_N"
"967"	10	"I_10"	"I"	2011	"nitrifd_F"	0.0058	NA	"measCat"	"plothalf"	"nitrifd_F_I"
"970"	10	"N_10"	"N"	2011	"nitrifd_F"	0.0056	NA	"measCat"	"plothalf"	"nitrifd_F_N"
"973"	11	"I_11"	"I"	2011	"nitrifd_F"	0.0114	NA	"measCat"	"plothalf"	"nitrifd_F_I"
"976"	11	"N_11"	"N"	2011	"nitrifd_F"	0.003	NA	"measCat"	"plothalf"	"nitrifd_F_N"
"979"	13	"I_13"	"I"	2011	"nitrifd_F"	NA	NA	"measCat"	"plothalf"	"nitrifd_F_I"
"982"	13	"N_13"	"N"	2011	"nitrifd_F"	0.0035	NA	"measCat"	"plothalf"	"nitrifd_F_N"
"985"	14	"I_14"	"I"	2011	"nitrifd_F"	0.005	NA	"measCat"	"plothalf"	"nitrifd_F_I"
"988"	14	"N_14"	"N"	2011	"nitrifd_F"	0.0026	NA	"measCat"	"plothalf"	"nitrifd_F_N"
"991"	16	"I_16"	"I"	2011	"nitrifd_F"	0.0047	NA	"measCat"	"plothalf"	"nitrifd_F_I"
"994"	16	"N_16"	"N"	2011	"nitrifd_F"	0.0025	NA	"measCat"	"plothalf"	"nitrifd_F_N"
"997"	17	"I_17"	"I"	2011	"nitrifd_F"	0.0097	NA	"measCat"	"plothalf"	"nitrifd_F_I"
"1000"	17	"N_17"	"N"	2011	"nitrifd_F"	0.0112	NA	"measCat"	"plothalf"	"nitrifd_F_N"
"1003"	18	"I_18"	"I"	2011	"nitrifd_F"	0.0048	NA	"measCat"	"plothalf"	"nitrifd_F_I"
"1006"	18	"N_18"	"N"	2011	"nitrifd_F"	0.0063	NA	"measCat"	"plothalf"	"nitrifd_F_N"
"1009"	2	"I_2"	"I"	2011	"nitrifd_F"	-8e-04	NA	"measCat"	"plothalf"	"nitrifd_F_I"
"1012"	2	"N_2"	"N"	2011	"nitrifd_F"	2e-04	NA	"measCat"	"plothalf"	"nitrifd_F_N"
"1015"	3	"I_3"	"I"	2011	"nitrifd_F"	5e-04	NA	"measCat"	"plothalf"	"nitrifd_F_I"
"1018"	3	"N_3"	"N"	2011	"nitrifd_F"	0.0013	NA	"measCat"	"plothalf"	"nitrifd_F_N"
"1021"	4	"I_4"	"I"	2011	"nitrifd_F"	0.0042	NA	"measCat"	"plothalf"	"nitrifd_F_I"
"1024"	4	"N_4"	"N"	2011	"nitrifd_F"	0.0025	NA	"measCat"	"plothalf"	"nitrifd_F_N"
"1027"	5	"I_5"	"I"	2011	"nitrifd_F"	0.0062	NA	"measCat"	"plothalf"	"nitrifd_F_I"
"1030"	5	"N_5"	"N"	2011	"nitrifd_F"	0.0072	NA	"measCat"	"plothalf"	"nitrifd_F_N"
"1033"	6	"I_6"	"I"	2011	"nitrifd_F"	0.0033	NA	"measCat"	"plothalf"	"nitrifd_F_I"
"1036"	6	"N_6"	"N"	2011	"nitrifd_F"	NA	NA	"measCat"	"plothalf"	"nitrifd_F_N"
"1039"	7	"I_7"	"I"	2011	"nitrifd_F"	0.0057	NA	"measCat"	"plothalf"	"nitrifd_F_I"
"1042"	7	"N_7"	"N"	2011	"nitrifd_F"	0.0103	NA	"measCat"	"plothalf"	"nitrifd_F_N"
