"year"	"plothalfid"	"plotid"	"site"	"rep"	"inv"	"mv"	"nat"	"litter"	"percpar"	"soiltemp"	"plotname"	"plothalfname"	"yrplotname"	"yrplothalfname"	"total"
"2013"	"5"	"3"	"G2"	"C"	"I"	1.76	4.13	52.78	9.57	NA	"G2_C"	"G2_C_I"	"2013_G2_C"	"2013_G2_C_I"	5.89
"2013"	"6"	"3"	"G2"	"C"	"N"	0	3.14	108.11	10.34	NA	"G2_C"	"G2_C_N"	"2013_G2_C"	"2013_G2_C_N"	3.14
"2013"	"7"	"4"	"LL"	"A"	"I"	2.2	0.58	79.4	NA	NA	"LL_A"	"LL_A_I"	"2013_LL_A"	"2013_LL_A_I"	2.78
"2013"	"8"	"4"	"LL"	"A"	"N"	0	0.4	83.48	NA	NA	"LL_A"	"LL_A_N"	"2013_LL_A"	"2013_LL_A_N"	0.4
"2013"	"9"	"5"	"LL"	"B"	"I"	8.36	0	150.64	NA	NA	"LL_B"	"LL_B_I"	"2013_LL_B"	"2013_LL_B_I"	8.36
"2013"	"10"	"5"	"LL"	"B"	"N"	0	0	251.03	NA	NA	"LL_B"	"LL_B_N"	"2013_LL_B"	"2013_LL_B_N"	0
"2013"	"11"	"6"	"LL"	"C"	"I"	1.2	23.59	111.12	NA	NA	"LL_C"	"LL_C_I"	"2013_LL_C"	"2013_LL_C_I"	24.79
"2013"	"12"	"6"	"LL"	"C"	"N"	0	5.95	152.26	NA	NA	"LL_C"	"LL_C_N"	"2013_LL_C"	"2013_LL_C_N"	5.95
"2013"	"13"	"7"	"CEB"	"A"	"I"	6.65	5.97	0.47	NA	NA	"CEB_A"	"CEB_A_I"	"2013_CEB_A"	"2013_CEB_A_I"	12.62
"2013"	"14"	"7"	"CEB"	"A"	"N"	0	20.57	3.54	NA	NA	"CEB_A"	"CEB_A_N"	"2013_CEB_A"	"2013_CEB_A_N"	20.57
"2013"	"15"	"8"	"CEB"	"B"	"I"	11.63	8.73	123.47	NA	NA	"CEB_B"	"CEB_B_I"	"2013_CEB_B"	"2013_CEB_B_I"	20.36
"2013"	"16"	"8"	"CEB"	"B"	"N"	0	1.12	163.11	NA	NA	"CEB_B"	"CEB_B_N"	"2013_CEB_B"	"2013_CEB_B_N"	1.12
"2013"	"17"	"9"	"CEB"	"C"	"I"	11.5	2.93	60.12	NA	NA	"CEB_C"	"CEB_C_I"	"2013_CEB_C"	"2013_CEB_C_I"	14.43
"2013"	"18"	"9"	"CEB"	"C"	"N"	0	17.32	66.38	NA	NA	"CEB_C"	"CEB_C_N"	"2013_CEB_C"	"2013_CEB_C_N"	17.32
"2013"	"19"	"10"	"G48"	"B"	"I"	4.95	4.07	35.73	0.4	NA	"G48_B"	"G48_B_I"	"2013_G48_B"	"2013_G48_B_I"	9.02
"2013"	"20"	"10"	"G48"	"B"	"N"	0	5.03	88.39	13.96	NA	"G48_B"	"G48_B_N"	"2013_G48_B"	"2013_G48_B_N"	5.03
"2013"	"21"	"11"	"G48"	"C"	"I"	32.94	19.08	84.45	71.34	NA	"G48_C"	"G48_C_I"	"2013_G48_C"	"2013_G48_C_I"	52.02
"2013"	"22"	"11"	"G48"	"C"	"N"	0	9.57	46.39	63.8	NA	"G48_C"	"G48_C_N"	"2013_G48_C"	"2013_G48_C_N"	9.57
"2013"	"23"	"12"	"G48"	"D"	"I"	58.57	9.66	68.81	7.38	NA	"G48_D"	"G48_D_I"	"2013_G48_D"	"2013_G48_D_I"	68.23
"2013"	"24"	"12"	"G48"	"D"	"N"	0	45.94	74.24	58.48	NA	"G48_D"	"G48_D_N"	"2013_G48_D"	"2013_G48_D_N"	45.94
"2013"	"25"	"13"	"G13"	"A"	"I"	0.06	4.93	105.9	3.94	NA	"G13_A"	"G13_A_I"	"2013_G13_A"	"2013_G13_A_I"	4.99
"2013"	"26"	"13"	"G13"	"A"	"N"	0	5.84	148.07	3.09	NA	"G13_A"	"G13_A_N"	"2013_G13_A"	"2013_G13_A_N"	5.84
