depth	batch	plothalfid	nhi	noi	toti	nhf	nof	totf	incubation_start	incubation_end	incubation_hrs	incubation_days
b	1 redo	17	3.073016552	0.938443057	4.011459608	5.857785448	8.075349313	13.93313476	8/2/13 at 12pm	8/16/13 at 12pm	336	14
b	1 redo	18	3.108103827	0.351085503	3.45918933	0.126049014	1.161463017	1.287512032	8/2/13 at 12pm	8/16/13 at 12pm	336	14
t	1 redo	1	0.74510067	1.736987774	2.482088443	3.010370931	2.955330102	5.965701032	8/2/13 at 12pm	8/16/13 at 12pm	336	14
t	1 redo	2	2.019374359	0.156555772	2.175930131	4.029485107	2.819746575	6.849231682	8/2/13 at 12pm	8/16/13 at 12pm	336	14
t	1 redo	3	2.154760744	0.60532329	2.760084035	9.035622393	2.436450998	11.47207339	8/2/13 at 12pm	8/16/13 at 12pm	336	14
t	1 redo	4	3.826440811	0.598485337	4.424926148	1.403188771	2.542835087	3.946023857	8/2/13 at 12pm	8/16/13 at 12pm	336	14
t	1 redo	5	3.196020142	0.628187615	3.824207758	3.948895158	2.10414772	6.053042878	8/2/13 at 12pm	8/16/13 at 12pm	336	14
t	1 redo	6	2.37108447	0.871609168	3.242693638	1.627945058	7.039960702	8.66790576	8/2/13 at 12pm	8/16/13 at 12pm	336	14
t	1 redo	7	4.838227144	0.827110361	5.665337505	7.662878458	2.085776422	9.74865488	8/2/13 at 12pm	8/16/13 at 12pm	336	14
t	1 redo	8	1.793957701	1.081789487	2.875747188	0.960020557	5.409758446	6.369779003	8/2/13 at 12pm	8/16/13 at 12pm	336	14
t	1 redo	9	2.838339566	0.932234513	3.770574079	9.893180431	6.240971139	16.13415157	8/2/13 at 12pm	8/16/13 at 12pm	336	14
t	1 redo	10	1.379114012	1.636580531	3.015694543	0.64523255	11.28649405	11.9317266	8/2/13 at 12pm	8/16/13 at 12pm	336	14
t	1 redo	11	0.91863987	0.46512284	1.383762709	1.716451179	2.870533055	4.586984233	8/2/13 at 12pm	8/16/13 at 12pm	336	14
t	1 redo	12	0.568154522	0.741667532	1.309822055	0.831851649	5.555157864	6.387009513	8/2/13 at 12pm	8/16/13 at 12pm	336	14
t	1 redo	13	2.786917294	1.341150581	4.128067875	0.326902915	3.14734079	3.474243705	8/2/13 at 12pm	8/16/13 at 12pm	336	14
t	1 redo	14	0.672447561	2.860335212	3.532782773	0.424847443	21.43635393	21.86120138	8/2/13 at 12pm	8/16/13 at 12pm	336	14
t	1 redo	15	1.95003415	1.04288257	2.992916721	1.07343173	5.757774804	6.831206534	8/2/13 at 12pm	8/16/13 at 12pm	336	14
t	1 redo	16	2.014517739	0.869587939	2.884105678	1.106831426	8.033207764	9.140039191	8/2/13 at 12pm	8/16/13 at 12pm	336	14
t	1 redo	17	1.646281005	0.5710144	2.217295405	1.540370541	6.241531809	7.78190235	8/2/13 at 12pm	8/16/13 at 12pm	336	14
t	1 redo	18	1.9714748	0.539922934	2.511397734	0.114687764	0.387911575	0.502599339	8/2/13 at 12pm	8/16/13 at 12pm	336	14
