year	plothalfid	plotid	site	rep	inv	depth	nhi	noi	toti	ammonifd	nitrifd	minzd	soilmoi	som
2011	12	6	LL	C	N	F	0.9177	0.0001	0.9177	0.0001	NA	0.0059	10.3627	2.8902
2012	3	2	G2	B	I	B	1.2024	2.5083	3.7107	0.0359	-0.0147	0.0212	8.3333	2.8708
2011	7	4	LL	A	I	F	1.3281	1.8498	3.1779	-0.001	0.0042	0.0033	13.354	2.8674
2011	5	3	G2	C	I	F	0.9289	2.1087	3.0376	-0.0002	0.0005	0.0003	11.8705	2.8571
2013	3	2	G2	B	I	B	1.6352	0.6697	2.3048	0.162	0.0855	0.2475	11.9632	2.7875
2011	1	1	G2	A	I	F	1.2285	0.882	2.1106	0.003	0.0037	0.0067	11.4754	2.7778
2013	27	14	G13	B	I	B	1.3111	1.0865	2.3976	0.1056	0.0393	0.145	21.5512	2.7766
2013	2	1	G2	A	N	B	1.0083	0.0001	1.0083	-0.0313	NA	0.1719	8.6223	2.7692
2013	26	13	G13	A	N	B	5.6123	1.466	7.0783	0.0073	-0.0144	-0.0071	14.6814	2.7417
2013	35	18	K7	B	I	B	2.6959	2.5498	5.2458	-0.1104	0.0641	-0.0463	17.4802	2.7178
2013	7	4	LL	A	I	B	2.2926	0.7646	3.0572	0.0732	0.0633	0.1365	13.1367	2.6235
2012	17	9	CEB	C	I	B	1.5145	1.5242	3.0388	-0.0448	0.1273	0.0825	12.8788	2.6087
2013	15	8	CEB	B	I	B	2.5543	0.7973	3.3515	-0.0667	0.398	0.3313	10.1279	2.5385
2012	15	8	CEB	B	I	B	1.8695	1.1235	2.9931	-0.0542	0.0648	0.0106	11.9469	2.5126
2012	7	4	LL	A	I	B	2.0361	1.2022	3.2383	-0.0537	0.0651	0.0114	5.6338	2.4876
2011	36	18	K7	B	N	F	1.2853	1.2653	2.5506	0.0019	0.0063	0.0081	8.5987	2.439
2012	5	3	G2	C	I	B	1.8162	2.6434	4.4597	-0.0473	0.0023	-0.045	6.6038	2.3569
2011	11	6	LL	C	I	F	0.4873	1.215	1.7023	0.0001	0.0033	0.0034	11.0368	2.2556
2013	31	16	G13	D	I	B	1.4236	1.6367	3.0603	-0.0889	0.0959	0.007	12.8662	2.2263
2012	9	5	LL	B	I	B	2.1334	0.0001	2.1334	-0.0271	NA	0.2125	7.0866	2.1186
2013	23	12	G48	D	I	B	1.0401	0.3454	1.3855	-0.0457	0.0621	0.0165	12.7441	2.1155
2013	9	5	LL	B	I	B	1.0899	0.5185	1.6084	0.0766	0.1093	0.1858	10.4247	2.0936
2012	29	15	G13	C	I	B	1.7208	1.4556	3.1765	NA	0.0617	-0.0201	11.4391	2.0833
2012	11	6	LL	C	I	B	1.3558	0.8201	2.1759	0.0177	0.0252	0.0429	4.6693	2.0408
2012	12	6	LL	C	N	B	1.8004	1.3695	3.1699	-0.0323	0.0067	-0.0257	4.9618	2.008
2013	10	5	LL	B	N	B	0.7575	0.7907	1.5482	-0.0113	0.205	0.1937	10.0126	2.0019
2013	4	2	G2	B	N	B	1.35	0.5833	1.9333	0.1521	0.0356	0.1877	10.9051	1.9584
2012	32	16	G13	D	N	B	0.8918	1.7412	2.6331	NA	0.0286	-0.0138	9.507	1.9455
2013	30	15	G13	C	N	B	2.1343	1.0714	3.2057	-0.1166	0.2109	0.0943	12.2689	1.9157
2013	29	15	G13	C	I	B	1.3047	0.4954	1.8	-0.0521	0.0618	0.0097	12.5072	1.7787
2013	32	16	G13	D	N	B	1.37	1.1066	2.4766	-0.04	0.1045	0.0645	7.4601	1.6775
2013	11	6	LL	C	I	B	0.925	0.1762	1.1011	-0.0141	0.0919	0.0779	11.1111	1.6611
2012	31	16	G13	D	I	B	0.9594	1.8026	2.762	NA	0.0136	-0.032	9.3985	1.6598
2013	24	12	G48	D	N	B	3.7407	1.3799	5.1206	-0.2523	0.4055	0.1532	10.5306	1.6423
2012	1	1	G2	A	I	B	1.4691	1.434	2.9031	-0.0567	0.1104	0.0537	9.1912	1.6194
2012	30	15	G13	C	N	B	1.1755	0.9207	2.0963	NA	0.0817	0.0258	10.6007	1.581
2012	4	2	G2	B	N	B	0.9158	2.2816	3.1974	-0.0369	-0.0192	-0.0562	7.2816	1.5707
2012	2	1	G2	A	N	B	1.2023	1.5958	2.7981	-0.0347	-0.0484	-0.0831	6.8259	1.4652
2013	1	1	G2	A	I	B	1.261	0.574	1.835	0.6318	-0.0079	0.6239	9.8712	1.4286
2013	12	6	LL	C	N	B	0.7169	0.227	0.9439	-0.0017	0.0559	0.0542	9.7963	1.3936
