"year"	"plothalfid"	"plothalfname"	"plotid"	"plotname"	"inv"	"variable"	"value"
"2012"	"31"	"G13_D_I"	"16"	"G13_D"	"I"	"nat"	1.19
"2012"	"32"	"G13_D_N"	"16"	"G13_D"	"N"	"nat"	0.08
"2012"	"33"	"K7_A_I"	"17"	"K7_A"	"I"	"nat"	0.63
"2012"	"34"	"K7_A_N"	"17"	"K7_A"	"N"	"nat"	0.19
"2012"	"35"	"K7_B_I"	"18"	"K7_B"	"I"	"nat"	0.32
"2012"	"36"	"K7_B_N"	"18"	"K7_B"	"N"	"nat"	0
"2011"	"1"	"G2_A_I"	"1"	"G2_A"	"I"	"nat"	1.73
"2011"	"2"	"G2_A_N"	"1"	"G2_A"	"N"	"nat"	51.84
"2011"	"3"	"G2_B_I"	"2"	"G2_B"	"I"	"nat"	0.63
"2011"	"4"	"G2_B_N"	"2"	"G2_B"	"N"	"nat"	4.88
"2011"	"5"	"G2_C_I"	"3"	"G2_C"	"I"	"nat"	1.83
"2011"	"6"	"G2_C_N"	"3"	"G2_C"	"N"	"nat"	0.36
"2011"	"7"	"LL_A_I"	"4"	"LL_A"	"I"	"nat"	0.16
"2011"	"8"	"LL_A_N"	"4"	"LL_A"	"N"	"nat"	0
"2011"	"9"	"LL_B_I"	"5"	"LL_B"	"I"	"nat"	0
"2011"	"10"	"LL_B_N"	"5"	"LL_B"	"N"	"nat"	0
"2011"	"11"	"LL_C_I"	"6"	"LL_C"	"I"	"nat"	0.23
"2011"	"12"	"LL_C_N"	"6"	"LL_C"	"N"	"nat"	0.63
"2011"	"13"	"CEB_A_I"	"7"	"CEB_A"	"I"	"nat"	2.97
"2011"	"14"	"CEB_A_N"	"7"	"CEB_A"	"N"	"nat"	5.59
"2011"	"15"	"CEB_B_I"	"8"	"CEB_B"	"I"	"nat"	0.15
"2011"	"16"	"CEB_B_N"	"8"	"CEB_B"	"N"	"nat"	1.09
"2011"	"17"	"CEB_C_I"	"9"	"CEB_C"	"I"	"nat"	0
"2011"	"18"	"CEB_C_N"	"9"	"CEB_C"	"N"	"nat"	0.68
"2011"	"19"	"G48_B_I"	"10"	"G48_B"	"I"	"nat"	0.54
"2011"	"20"	"G48_B_N"	"10"	"G48_B"	"N"	"nat"	1.84
"2011"	"21"	"G48_C_I"	"11"	"G48_C"	"I"	"nat"	96.2
"2011"	"22"	"G48_C_N"	"11"	"G48_C"	"N"	"nat"	1.49
"2011"	"23"	"G48_D_I"	"12"	"G48_D"	"I"	"nat"	7.01
"2011"	"24"	"G48_D_N"	"12"	"G48_D"	"N"	"nat"	18.73
"2011"	"25"	"G13_A_I"	"13"	"G13_A"	"I"	"nat"	2.18
"2011"	"26"	"G13_A_N"	"13"	"G13_A"	"N"	"nat"	3.01
"2011"	"27"	"G13_B_I"	"14"	"G13_B"	"I"	"nat"	0.64
"2011"	"28"	"G13_B_N"	"14"	"G13_B"	"N"	"nat"	0.79
