"year"	"plothalfid"	"plothalfname"	"plotid"	"plotname"	"inv"	"depth"	"variable"	"value"
"2012"	"1"	"G2_A_I"	"1"	"G2_A"	"I"	"T"	"noi"	2.5159
"2012"	"26"	"G13_A_N"	"13"	"G13_A"	"N"	"T"	"noi"	2.1907
"2012"	"25"	"G13_A_I"	"13"	"G13_A"	"I"	"B"	"noi"	1.8639
"2011"	"27"	"G13_B_I"	"14"	"G13_B"	"I"	"F"	"noi"	0.5801
"2012"	"34"	"K7_A_N"	"17"	"K7_A"	"N"	"B"	"noi"	2.0475
"2012"	"12"	"LL_C_N"	"6"	"LL_C"	"N"	"T"	"noi"	1.8624
"2011"	"29"	"G13_C_I"	"15"	"G13_C"	"I"	"F"	"noi"	0.8821
"2011"	"23"	"G48_D_I"	"12"	"G48_D"	"I"	"F"	"noi"	0.9227
"2012"	"16"	"CEB_B_N"	"8"	"CEB_B"	"N"	"B"	"noi"	1.7695
"2013"	"26"	"G13_A_N"	"13"	"G13_A"	"N"	"T"	"noi"	1.3902
"2013"	"34"	"K7_A_N"	"17"	"K7_A"	"N"	"B"	"noi"	2.3655
"2012"	"11"	"LL_C_I"	"6"	"LL_C"	"I"	"T"	"noi"	2.1628
"2012"	"21"	"G48_C_I"	"11"	"G48_C"	"I"	"B"	"noi"	0.4054
"2012"	"22"	"G48_C_N"	"11"	"G48_C"	"N"	"B"	"noi"	1.6136
"2011"	"31"	"G13_D_I"	"16"	"G13_D"	"I"	"F"	"noi"	1.2724
"2013"	"22"	"G48_C_N"	"11"	"G48_C"	"N"	"B"	"noi"	1.564
"2011"	"24"	"G48_D_N"	"12"	"G48_D"	"N"	"F"	"noi"	7.7886
"2012"	"19"	"G48_B_I"	"10"	"G48_B"	"I"	"B"	"noi"	1.9236
"2013"	"24"	"G48_D_N"	"12"	"G48_D"	"N"	"T"	"noi"	3.8183
"2011"	"10"	"LL_B_N"	"5"	"LL_B"	"N"	"F"	"noi"	2.7679
"2011"	"17"	"CEB_C_I"	"9"	"CEB_C"	"I"	"F"	"noi"	0.8354
"2013"	"17"	"CEB_C_I"	"9"	"CEB_C"	"I"	"T"	"noi"	0.571
"2013"	"18"	"CEB_C_N"	"9"	"CEB_C"	"N"	"T"	"noi"	0.5399
"2012"	"5"	"G2_C_I"	"3"	"G2_C"	"I"	"T"	"noi"	2.4096
"2012"	"31"	"G13_D_I"	"16"	"G13_D"	"I"	"T"	"noi"	2.7443
"2013"	"5"	"G2_C_I"	"3"	"G2_C"	"I"	"B"	"noi"	1.0034
"2013"	"12"	"LL_C_N"	"6"	"LL_C"	"N"	"T"	"noi"	0.7417
"2013"	"11"	"LL_C_I"	"6"	"LL_C"	"I"	"T"	"noi"	0.4651
"2011"	"8"	"LL_A_N"	"4"	"LL_A"	"N"	"F"	"noi"	2.967
"2013"	"14"	"CEB_A_N"	"7"	"CEB_A"	"N"	"B"	"noi"	1.5038
"2012"	"32"	"G13_D_N"	"16"	"G13_D"	"N"	"T"	"noi"	2.9756
"2012"	"20"	"G48_B_N"	"10"	"G48_B"	"N"	"B"	"noi"	0.7399
"2013"	"33"	"K7_A_I"	"17"	"K7_A"	"I"	"B"	"noi"	1.9209
"2013"	"17"	"CEB_C_I"	"9"	"CEB_C"	"I"	"B"	"noi"	0.9384
"2012"	"28"	"G13_B_N"	"14"	"G13_B"	"N"	"B"	"noi"	1.6501
"2012"	"35"	"K7_B_I"	"18"	"K7_B"	"I"	"B"	"noi"	2.5644
